index,year,schoolindex,level,leet,leet_base,gpa,gpa_base,lang,lang_base,doc,doc_base,essay,essay_base,interview,interview_base,sum,mutiple,,
,2017,14,2,,,,,,,,,100,,200,,300,,,
,2018,14,1,300,,100,80,100,90,200,180,,,,,700,500,,
,2018,14,2,,,,,,,,,100,,200,,300,,,
,2016,15,1,35,,20,,15,,,,,,,,70,500,,
,2016,15,2,,,,,,,,,,,30,,30,,,
,2017,15,1,40,30,20,17,20,16,,,,,,,80,500,,
,2017,15,2,,,,,,,,,,,20,7,100,,,
,2018,15,1,40,30,20,17,20,16,,,,,,,80,500,,
,2018,15,2,,,,,,,,,,,20,7,20,,,
,2016,16,1,150,,200,,150,,200,,,,,,700,400,,
,2016,16,2,,,,,,,,,150,,150,,300,,,
,2017,16,1,60,,40,,30,,50,,,,,,180,400,,
,2017,16,2,,,,,,,,,10,,10,,20,,,
,2018,16,1,60,,40,,30,,50,,,,,,180,300,,
,2018,16,2,,,,,,,,,10,,10,,20,,,
,2016,17,1,200,,200,,150,,200,,,,,,750,400,,
,2016,17,2,,,,,,,,,50,,200,,1000,,,
,2017,17,1,250,,200,100,100,50,,,,,,,550,600,,
,2017,17,2,,,,,,,150,50,100,50,200,50,1000,,,
,2018,17,1,250,50,200,100,100,50,200,50,,,,,750,500,,
,2018,17,2,,,,,,,,,100,50,150,50,1000,,,
,2016,18,1,100,,100,,100,,100,,,,,,400,300,,
,2016,18,2,,,,,,,,,50,,50,,500,,,
,2017,18,1,100,42,100,76,100,88,100,52,,,,,400,300,,
,2017,18,2,,,,,,,,,50,30,50,35,500,,,
,2018,18,1,100,30,100,72,100,88,100,52,,,,,400,300,,
,2018,18,2,,,,,,,,,50,35,50,40,500,,,
,2016,19,1,30,,15,,10,,10,,,,,,65,300,,
,2016,19,2,,,,,,,,,15,,20,,100,,,
,2017,19,1,30,,15,,10,,10,,,,,,65,300,,
,2017,19,2,,,,,,,,,15,,20,,100,,,
,2018,19,1,30,,15,,10,,10,,,,,,65,300,,
,2018,19,2,,,,,,,,,15,,20,,100,,,
,2016,20,1,25,,20,,15,,,,,,,,60,400,,
,2016,20,2,,,,,,,16,,8,,16,,100,,,
,2017,20,1,25,,20,,15,,,,,,,,60,400,,
,2017,20,2,,,,,,,16,,8,,16,,100,,,
,2018,20,1,30,,20,,10,,,,,,,,60,300,,
,2018,20,2,,,,,,,20,,4,,16,,100,,,
,2016,21,1,100,,100,,100,,100,,,,,,400,400,,
,2016,21,2,,,,,,,,,,,100,,500,,,
,2017,21,1,100,80,100,80,100,85,100,80,,,,,400,400,,
,2017,21,2,,,,,,,,,,,100,90,500,,,
,2018,21,1,100,80,100,80,100,85,100,80,,,,,400,400,,
,2018,21,2,,,,,,,,,,,100,90,500,,,
,2016,22,1,120,,50,,100,,30,,,,,,300,250,,"?명꽣酉곗뿉 ?쇱닠, ?먯냼??諛섏쁺"
,2016,22,2,,,,,,,,,,,100,,400,,,
,2017,22,1,120,,100,,100,,30,,,,,,350,250,,
,2017,22,2,,,,,,,,,20,,40,,410,,,
,2018,22,1,120,,100,,100,,30,,,,,,350,250,,
,2018,22,2,,,,,,,,,20,,40,,410,,,
,2016,23,1,100,,100,,100,,,,,,,,300,400,,
,2016,23,2,,,,,,,30,,100,,70,,500,,,
,2017,23,1,100,,100,,100,,60,,,,,,360,300,,
,2017,23,2,,,,,,,,,100,,40,,500,,,
,2018,23,1,100,,100,,100,,60,,,,,,360,300,,
,2018,23,2,,,,,,,,,100,,40,,500,,,
,2016,24,1,100,,100,,100,,100,,,,,,400,500,,
,2016,24,2,,,,,,,,,,,100,,500,,,
,2017,24,1,200,50,100,50,100,50,100,50,,,,,500,400,,?쇱닠 p/f
,2017,24,2,,,,,,,,,,,100,60,600,,,
,2018,24,1,100,25,100,65,100,70,100,50,,,,,400,400,,
,2018,24,2,,,,,,,,,,,100,76,500,,,
,2016,25,1,150,,220,,110,,220,,,,,,700,300,,
,2016,25,2,,,,,,,,,100,,200,,1000,,,
,2017,25,1,30,,20,,10,,20,,,,,,80,350,,
,2017,25,2,,,,,,,,,10,,10,,100,,,
,2018,25,1,30,,20,,10,,20,,,,,,80,350,,
,2018,25,2,,,,,,,,,10,,10,,100,,,
